#,Label,Interval,Total,Time Recorded
000,Start #1,---,---,2023-04-14T15:36:27.616Z
138,Split #138,00:00:02.743,00:06:48.960,2023-04-14T15:43:16.576Z
139,Split #139,00:00:02.566,00:06:51.526,2023-04-14T15:43:19.142Z
140,Split #140,00:00:03.105,00:06:54.631,2023-04-14T15:43:22.247Z
141,Split #141,00:00:03.005,00:06:57.636,2023-04-14T15:43:25.252Z
142,Split #142,00:00:02.753,00:07:00.389,2023-04-14T15:43:28.005Z
143,Split #143,00:00:02.724,00:07:03.113,2023-04-14T15:43:30.729Z
144,Split #144,00:00:03.959,00:07:07.072,2023-04-14T15:43:34.688Z
145,Split #145,00:00:02.433,00:07:09.505,2023-04-14T15:43:37.121Z
146,Split #146,00:00:03.058,00:07:12.563,2023-04-14T15:43:40.179Z
147,Split #147,00:00:02.947,00:07:15.510,2023-04-14T15:43:43.126Z
148,Split #148,00:00:02.859,00:07:18.369,2023-04-14T15:43:45.985Z
149,Split #149,00:00:02.766,00:07:21.135,2023-04-14T15:43:48.751Z
150,Split #150,00:00:02.522,00:07:23.657,2023-04-14T15:43:51.273Z
151,Split #151,00:00:02.609,00:07:26.266,2023-04-14T15:43:53.882Z
152,Split #152,00:00:02.520,00:07:28.786,2023-04-14T15:43:56.402Z
153,Split #153,00:00:02.497,00:07:31.283,2023-04-14T15:43:58.899Z
154,Split #154,00:00:02.385,00:07:33.668,2023-04-14T15:44:01.284Z
155,Split #155,00:00:02.318,00:07:35.986,2023-04-14T15:44:03.602Z
156,Split #156,00:00:02.363,00:07:38.349,2023-04-14T15:44:05.965Z
157,Split #157,00:00:02.654,00:07:41.003,2023-04-14T15:44:08.619Z
158,Split #158,00:00:02.408,00:07:43.411,2023-04-14T15:44:11.027Z
159,Split #159,00:00:02.363,00:07:45.774,2023-04-14T15:44:13.390Z
160,Split #160,00:00:02.294,00:07:48.068,2023-04-14T15:44:15.684Z
161,Split #161,00:00:02.521,00:07:50.589,2023-04-14T15:44:18.205Z
162,Split #162,00:00:02.363,00:07:52.952,2023-04-14T15:44:20.568Z
163,Split #163,00:00:02.294,00:07:55.246,2023-04-14T15:44:22.862Z
164,Split #164,00:00:02.386,00:07:57.632,2023-04-14T15:44:25.248Z
165,Split #165,00:00:01.847,00:07:59.479,2023-04-14T15:44:27.095Z
