#,Label,Interval,Total,Time Recorded
000,Start #1,---,---,2023-04-08T05:26:01.302Z
139,Split #139,00:00:03.576,00:08:32.552,2023-04-08T05:34:33.854Z
140,Split #140,00:00:04.005,00:08:36.557,2023-04-08T05:34:37.859Z
141,Split #141,00:00:03.713,00:08:40.270,2023-04-08T05:34:41.572Z
142,Split #142,00:00:04.309,00:08:44.579,2023-04-08T05:34:45.881Z
143,Split #143,00:00:03.489,00:08:48.068,2023-04-08T05:34:49.370Z
144,Split #144,00:00:03.767,00:08:51.835,2023-04-08T05:34:53.137Z
145,Split #145,00:00:05.469,00:08:57.304,2023-04-08T05:34:58.606Z
146,Split #146,00:00:02.113,00:08:59.417,2023-04-08T05:35:00.719Z
147,Split #147,00:00:01.327,00:09:00.744,2023-04-08T05:35:02.046Z
148,Split #148,00:00:01.935,00:09:02.679,2023-04-08T05:35:03.981Z
149,Split #149,00:00:02.138,00:09:04.817,2023-04-08T05:35:06.119Z
150,Split #150,00:00:02.632,00:09:07.449,2023-04-08T05:35:08.751Z
151,Split #151,00:00:02.521,00:09:09.970,2023-04-08T05:35:11.272Z
152,Split #152,00:00:02.294,00:09:12.264,2023-04-08T05:35:13.566Z
153,Split #153,00:00:02.250,00:09:14.514,2023-04-08T05:35:15.816Z
154,Split #154,00:00:03.095,00:09:17.609,2023-04-08T05:35:18.911Z
155,Split #155,00:00:02.407,00:09:20.016,2023-04-08T05:35:21.318Z
156,Split #156,00:00:02.442,00:09:22.458,2023-04-08T05:35:23.760Z
157,Split #157,00:00:02.745,00:09:25.203,2023-04-08T05:35:26.505Z
158,Split #158,00:00:02.477,00:09:27.680,2023-04-08T05:35:28.982Z
159,Split #159,00:00:02.157,00:09:29.837,2023-04-08T05:35:31.139Z
160,Split #160,00:00:02.070,00:09:31.907,2023-04-08T05:35:33.209Z
161,Split #161,00:00:02.003,00:09:33.910,2023-04-08T05:35:35.212Z
162,Split #162,00:00:02.005,00:09:35.915,2023-04-08T05:35:37.217Z
163,Split #163,00:00:01.933,00:09:37.848,2023-04-08T05:35:39.150Z
164,Split #164,00:00:01.936,00:09:39.784,2023-04-08T05:35:41.086Z
165,Split #165,00:00:01.956,00:09:41.740,2023-04-08T05:35:43.042Z
166,Split #166,00:00:02.295,00:09:44.035,2023-04-08T05:35:45.337Z
167,Split #167,00:00:02.025,00:09:46.060,2023-04-08T05:35:47.362Z
168,Split #168,00:00:02.251,00:09:48.311,2023-04-08T05:35:49.613Z
169,Split #169,00:00:02.136,00:09:50.447,2023-04-08T05:35:51.749Z
170,Split #170,00:00:02.206,00:09:52.653,2023-04-08T05:35:53.955Z
171,Split #171,00:00:02.633,00:09:55.286,2023-04-08T05:35:56.588Z
172,Split #172,00:00:02.272,00:09:57.558,2023-04-08T05:35:58.860Z
173,Split #173,00:00:03.083,00:10:00.641,2023-04-08T05:36:01.943Z
174,Split #174,00:00:02.721,00:10:03.362,2023-04-08T05:36:04.664Z
175,Split #175,00:00:02.352,00:10:05.714,2023-04-08T05:36:07.016Z
176,Split #176,00:00:01.282,00:10:06.996,2023-04-08T05:36:08.298Z
177,Split #177,00:00:02.171,00:10:09.167,2023-04-08T05:36:10.469Z
178,Split #178,00:00:02.409,00:10:11.576,2023-04-08T05:36:12.878Z
179,Split #179,00:00:02.159,00:10:13.735,2023-04-08T05:36:15.037Z
180,Split #180,00:00:02.285,00:10:16.020,2023-04-08T05:36:17.322Z
181,Split #181,00:00:03.105,00:10:19.125,2023-04-08T05:36:20.427Z
182,Split #182,00:00:03.396,00:10:22.521,2023-04-08T05:36:23.823Z
183,Split #183,00:00:02.767,00:10:25.288,2023-04-08T05:36:26.590Z
184,Split #184,00:00:02.588,00:10:27.876,2023-04-08T05:36:29.178Z
185,Split #185,00:00:02.250,00:10:30.126,2023-04-08T05:36:31.428Z
186,Split #186,00:00:04.050,00:10:34.176,2023-04-08T05:36:35.478Z
187,Split #187,00:00:03.893,00:10:38.069,2023-04-08T05:36:39.371Z
188,Split #188,00:00:03.782,00:10:41.851,2023-04-08T05:36:43.153Z
189,Split #189,00:00:03.533,00:10:45.384,2023-04-08T05:36:46.686Z
190,Split #190,00:00:06.298,00:10:51.682,2023-04-08T05:36:52.984Z
191,Split #191,00:00:04.094,00:10:55.776,2023-04-08T05:36:57.078Z
192,Split #192,00:00:03.600,00:10:59.376,2023-04-08T05:37:00.678Z
193,Split #193,00:00:03.623,00:11:02.999,2023-04-08T05:37:04.301Z
194,Split #194,00:00:03.836,00:11:06.835,2023-04-08T05:37:08.137Z
195,Split #195,00:00:03.532,00:11:10.367,2023-04-08T05:37:11.669Z
196,Split #196,00:00:03.275,00:11:13.642,2023-04-08T05:37:14.944Z
197,Split #197,00:00:04.094,00:11:17.736,2023-04-08T05:37:19.038Z
198,Split #198,00:00:02.565,00:11:20.301,2023-04-08T05:37:21.603Z
199,Split #199,00:00:01.215,00:11:21.516,2023-04-08T05:37:22.818Z
200,Split #200,00:00:01.507,00:11:23.023,2023-04-08T05:37:24.325Z
201,Split #201,00:00:01.733,00:11:24.756,2023-04-08T05:37:26.058Z
202,Split #202,00:00:01.564,00:11:26.320,2023-04-08T05:37:27.622Z
203,Split #203,00:00:01.924,00:11:28.244,2023-04-08T05:37:29.546Z
204,Split #204,00:00:01.913,00:11:30.157,2023-04-08T05:37:31.459Z
205,Split #205,00:00:03.847,00:11:34.004,2023-04-08T05:37:35.306Z
206,Split #206,00:00:11.103,00:11:45.107,2023-04-08T05:37:46.409Z
207,Split #207,00:00:07.335,00:11:52.442,2023-04-08T05:37:53.744Z
208,Split #208,00:00:05.750,00:11:58.192,2023-04-08T05:37:59.494Z
209,Split #209,00:00:06.997,00:12:05.189,2023-04-08T05:38:06.491Z
210,Split #210,00:00:06.188,00:12:11.377,2023-04-08T05:38:12.679Z
211,Split #211,00:00:06.389,00:12:17.766,2023-04-08T05:38:19.068Z
212,Split #212,00:00:04.816,00:12:22.582,2023-04-08T05:38:23.884Z
213,Split #213,00:00:09.112,00:12:31.694,2023-04-08T05:38:32.996Z
214,Split #214,00:00:05.265,00:12:36.959,2023-04-08T05:38:38.261Z
215,Split #215,00:00:04.185,00:12:41.144,2023-04-08T05:38:42.446Z
216,Split #216,00:00:03.860,00:12:45.004,2023-04-08T05:38:46.306Z
217,Split #217,00:00:03.790,00:12:48.794,2023-04-08T05:38:50.096Z
218,Split #218,00:00:04.412,00:12:53.206,2023-04-08T05:38:54.508Z
219,Split #219,00:00:03.676,00:12:56.882,2023-04-08T05:38:58.184Z
220,Split #220,00:00:03.668,00:13:00.550,2023-04-08T05:39:01.852Z
221,Split #221,00:00:04.219,00:13:04.769,2023-04-08T05:39:06.071Z
222,Split #222,00:00:05.850,00:13:10.619,2023-04-08T05:39:11.921Z
223,Split #223,00:00:04.050,00:13:14.669,2023-04-08T05:39:15.971Z
224,Split #224,00:00:03.825,00:13:18.494,2023-04-08T05:39:19.796Z
225,Split #225,00:00:03.892,00:13:22.386,2023-04-08T05:39:23.688Z
226,Split #226,00:00:05.772,00:13:28.158,2023-04-08T05:39:29.460Z
227,Split #227,00:00:05.085,00:13:33.243,2023-04-08T05:39:34.545Z
228,Split #228,00:00:04.072,00:13:37.315,2023-04-08T05:39:38.617Z
229,Split #229,00:00:03.960,00:13:41.275,2023-04-08T05:39:42.577Z
230,Split #230,00:00:04.253,00:13:45.528,2023-04-08T05:39:46.830Z
231,Split #231,00:00:03.150,00:13:48.678,2023-04-08T05:39:49.980Z
232,Split #232,00:00:03.048,00:13:51.726,2023-04-08T05:39:53.028Z
233,Split #233,00:00:03.420,00:13:55.146,2023-04-08T05:39:56.448Z
234,Split #234,00:00:03.600,00:13:58.746,2023-04-08T05:40:00.048Z
235,Split #235,00:00:02.588,00:14:01.334,2023-04-08T05:40:02.636Z
236,Split #236,00:00:02.206,00:14:03.540,2023-04-08T05:40:04.842Z
237,Split #237,00:00:03.531,00:14:07.071,2023-04-08T05:40:08.373Z
238,Split #238,00:00:02.342,00:14:09.413,2023-04-08T05:40:10.715Z
239,Split #239,00:00:02.226,00:14:11.639,2023-04-08T05:40:12.941Z
240,Split #240,00:00:01.980,00:14:13.619,2023-04-08T05:40:14.921Z
241,Split #241,00:00:02.329,00:14:15.948,2023-04-08T05:40:17.250Z
242,Split #242,00:00:02.498,00:14:18.446,2023-04-08T05:40:19.748Z
243,Split #243,00:00:02.609,00:14:21.055,2023-04-08T05:40:22.357Z
244,Split #244,00:00:03.242,00:14:24.297,2023-04-08T05:40:25.599Z
245,Split #245,00:00:01.687,00:14:25.984,2023-04-08T05:40:27.286Z
246,Split #246,00:00:04.859,00:14:30.843,2023-04-08T05:40:32.145Z
247,Split #247,00:00:04.635,00:14:35.478,2023-04-08T05:40:36.780Z
248,Split #248,00:00:04.050,00:14:39.528,2023-04-08T05:40:40.830Z
249,Split #249,00:00:06.030,00:14:45.558,2023-04-08T05:40:46.860Z
250,Split #250,00:00:07.537,00:14:53.095,2023-04-08T05:40:54.397Z
251,Split #251,00:00:06.323,00:14:59.418,2023-04-08T05:41:00.720Z
252,Split #252,00:00:07.222,00:15:06.640,2023-04-08T05:41:07.942Z
253,Split #253,00:00:04.253,00:15:10.893,2023-04-08T05:41:12.195Z
254,Split #254,00:00:12.533,00:15:23.426,2023-04-08T05:41:24.728Z
255,Split #255,00:00:32.760,00:15:56.186,2023-04-08T05:41:57.488Z
